"Year","Country","Patents","Country Name","NeonatalRate","Lifeexpectancy","InfantMortality"
2009,"CH",131,"Switzerland",3.2,82.04390244,4
2009,"DE",527,"Germany",2.4,79.83658537,3.5
2009,"DK",76,"Denmark",2.8,78.59756098,3.6
2009,"FI",34,"Finland",1.8,79.7195122,2.6
2009,"FR",301,"France",2.3,81.41463415,3.6
2009,"GB",340,"United Kingdom",3.1,80.05121951,4.6
2009,"IE",9,"Ireland",2.5,80.1902439,3.6
2009,"IL",108,"Israel",2.4,81.40487805,3.8
2009,"IT",106,"Italy",2.4,81.63658537,3.4
2009,"JP",769,"Japan",1.2,82.93146341,2.4
2009,"NL",108,"Netherlands",2.9,80.54878049,3.8
2009,"NO",26,"Norway",1.9,80.79512195,2.8
2009,"NZ",24,"New Zealand",3.1,80.70243902,5.2
2009,"SE",88,"Sweden",1.7,81.35121951,2.6
2009,"SG",13,"Singapore",1.1,81.24146341,2.2
2009,"SK",3,"Slovak Republic",3.4,74.9097561,5.9
2009,"US",5557,"United States",4.2,78.3902439,6.4
2010,"AU",117,"Australia",2.7,81.69512195,4
2010,"BE",112,"Belgium",2.3,80.18292683,3.6
2010,"CA",354,"Canada",3.7,81.24634146,4.9
2010,"CH",197,"Switzerland",3.1,82.24634146,3.9
2010,"DE",786,"Germany",2.3,79.98780488,3.5
2010,"DK",140,"Denmark",2.9,79.1,3.5
2010,"FI",52,"Finland",1.7,79.87073171,2.5
2010,"FR",471,"France",2.3,81.66341463,3.6
2010,"GB",505,"United Kingdom",3,80.40243902,4.4
2010,"IE",19,"Ireland",2.5,80.74390244,3.5
2010,"IL",150,"Israel",2.4,81.60243902,3.7
2010,"IT",212,"Italy",2.4,82.03658537,3.4
2010,"JP",1057,"Japan",1.1,82.84268293,2.3
2010,"NL",133,"Netherlands",2.8,80.70243902,3.7
2010,"NO",31,"Norway",1.9,80.99756098,2.6
2010,"NZ",23,"New Zealand",3.2,80.70243902,5.1
2010,"SE",134,"Sweden",1.6,81.45121951,2.5
2010,"SG",14,"Singapore",1.1,81.54146341,2.2
2010,"SK",2,"Slovak Republic",3.4,75.11219512,5.8
2010,"US",7482,"United States",4.1,78.54146341,6.2
2011,"AU",146,"Australia",2.6,81.89512195,3.8
2011,"BE",114,"Belgium",2.3,80.58536585,3.6
2011,"CA",382,"Canada",3.7,81.44878049,4.8
2011,"CH",199,"Switzerland",3.1,82.69512195,3.9
2011,"DE",728,"Germany",2.3,80.43658537,3.4
2011,"DK",158,"Denmark",3,79.8,3.4
2011,"FI",37,"Finland",1.6,80.47073171,2.4
2011,"FR",487,"France",2.2,82.11463415,3.5
2011,"GB",475,"United Kingdom",3,80.95121951,4.3
2011,"IE",21,"Ireland",2.5,80.74634146,3.5
2011,"IL",152,"Israel",2.3,81.65609756,3.5
2011,"IT",199,"Italy",2.4,82.18780488,3.3
2011,"JP",1181,"Japan",1,82.59121951,2.3
2011,"NL",188,"Netherlands",2.7,81.20487805,3.6
2011,"NO",31,"Norway",1.8,81.29512195,2.5
2011,"NZ",37,"New Zealand",3.3,80.90487805,5
2011,"SE",140,"Sweden",1.6,81.80243902,2.5
2011,"SG",25,"Singapore",1.1,81.74390244,2.2
2011,"SK",3,"Slovak Republic",3.3,75.95853659,5.6
2011,"US",7366,"United States",4.1,78.64146341,6.1
2012,"AU",144,"Australia",2.5,82.04634146,3.6
2012,"BE",105,"Belgium",2.3,80.38536585,3.5
2012,"CA",396,"Canada",3.7,81.64878049,4.8
2012,"CH",210,"Switzerland",3.1,82.69756098,3.9
2012,"DE",866,"Germany",2.3,80.53902439,3.4
2012,"DK",154,"Denmark",3.1,80.05121951,3.4
2012,"FI",39,"Finland",1.5,80.62682927,2.2
2012,"FR",555,"France",2.2,81.96829268,3.5
2012,"GB",564,"United Kingdom",2.9,80.90487805,4.1
2012,"IE",18,"Ireland",2.5,80.84634146,3.4
2012,"IL",185,"Israel",2.3,81.70487805,3.4
2012,"IT",213,"Italy",2.3,82.23902439,3.2
2012,"JP",1201,"Japan",1,83.09609756,2.2
2012,"NL",144,"Netherlands",2.7,81.10487805,3.6
2012,"NO",35,"Norway",1.7,81.45121951,2.4
2012,"NZ",36,"New Zealand",3.3,81.15609756,4.9
2012,"SE",133,"Sweden",1.6,81.70487805,2.4
2012,"SG",42,"Singapore",1.1,81.99512195,2.2
2012,"SK",3,"Slovak Republic",3.3,76.1097561,5.5
2012,"US",8692,"United States",4,78.74146341,6
2013,"AU",183,"Australia",2.4,82.14878049,3.5
2013,"BE",156,"Belgium",2.3,80.58780488,3.4
2013,"CA",462,"Canada",3.6,81.74878049,4.7
2013,"CH",279,"Switzerland",3,82.79756098,3.8
2013,"DE",952,"Germany",2.3,80.4902439,3.3
2013,"DK",214,"Denmark",3.2,80.3,3.5
2013,"FI",32,"Finland",1.4,80.97560976,2.2
2013,"FR",652,"France",2.3,82.2195122,3.5
2013,"GB",590,"United Kingdom",2.8,81.00487805,4
2013,"IE",41,"Ireland",2.5,80.94878049,3.3
2013,"IL",267,"Israel",2.2,82.05609756,3.3
2013,"IT",244,"Italy",2.2,82.6902439,3.1
2013,"JP",1291,"Japan",1,83.33195122,2.1
2013,"NL",205,"Netherlands",2.7,81.30487805,3.5
2013,"NO",48,"Norway",1.7,81.75121951,2.3
2013,"NZ",31,"New Zealand",3.3,81.40731707,4.8
2013,"SE",123,"Sweden",1.6,81.95609756,2.4
2013,"SG",60,"Singapore",1,82.24634146,2.2
2013,"SK",1,"Slovak Republic",3.2,76.41219512,5.3
2013,"US",10002,"United States",4,78.74146341,6
2014,"AU",184,"Australia",2.4,82.3,3.3
2014,"BE",177,"Belgium",2.2,81.28780488,3.3
2014,"CA",444,"Canada",3.6,81.8,4.7
2014,"CH",303,"Switzerland",3,83.19756098,3.8
